10 Slot Bag;Сумка на 10 ячеек;Tasche mit 10 Plätzen;Bolsa de 10 ranuras;Bolsa de 10 casilleros;Sac à 10 emplacements;Borsa da 10 scomparti;10칸 가방;Torba z 10 miejscami;Bolsa com 10 divisões;10格包;10格背包
Amon's Train | Dominion Train;Поезд Амуна | Поезд Доминиона;Amons Zug | Zug der Liga;Tren de Amon | Tren del Dominio;Tren de Amón | Tren del Dominio;Train du Dominion;Treno del Dominio | Treno di Amon;아몬의 열차 | 자치령 열차;Pociąg Amona | Pociąg Dominium;Trem da Supremacia;埃蒙的列车 | 帝国列车;亞蒙的列車 | 自治聯盟列車
Cannibalize Corpse;Пожирание трупов;Leiche kannibalisieren;Canibalismo de cadáver;Canibalizar cadáver;Cannibaliser le cadavre;Cannibalizza cadavere;시체 섭취;Kanibalizm zwłok;Canibalizar Cadáver;食尸;啃食屍體
Capped Terrazine Emitter;Закрытый источник терразина;Verdeckte Terrazinquelle;Emisor de terrazine limitado;Emisor de terracino restringido;Émetteur de terrazine au max.;Fonte di terrazine al massimo;봉인된 테라진 방출기;Limit terrazytu, Emiter;Emissor de Terrazino Limitado;Capped Terrazine Emitter;封閉的態化氫發射器
Capture Point;Точка захвата;Eroberungspunkt;Punto de captura;Punto de captura;Point de capture;Punto di conquista;점령 지점;Punkt do zajęcia;Ponto de Captura;控制点;佔領點
Carrier Interceptor Bomb Weapon;Перехватчик авианосца - бомба - оружие;Träger - Interceptor, Bombe - Waffe;Arma de bomba de interceptor del portanaves;Portanaves - Interceptor - Bomba - Arma;Bombardier de porte-nefs - Bombe - Arme;Portastormo Intercettore - Arma Bomba;우주모함 요격기 폭탄 무기;Lotniskowiec, Przechwytywacz, Bomba, Broń;Interceptor da Transportadora - Bomba - Arma;Carrier Interceptor Bomb Weapon;航空母艦 - 攔截機炸彈 - 武器
Repair Drone;Ремонтный дрон;Reparaturdrohne;Robot de reparación;Dron de reparación;Drones réparateurs;Drone riparatore;수리 비행정;Robot naprawczy;Drone de Conserto;修理无人机;自動維修機
Carrion Wasp;Оса-падальщица;Aaswespe;Avispa portadora;Avispa de carroña;Guêpe charognarde;Vespa avvoltoio;청소부 날벌레;Osa-ścierwiel;Vespa da Carniça;小型腐肉虫;食腐黃蜂
Carrion Nest;Гнездо падальщиков;Aasnest;Nido de portador;Nido de carroña;Nid de charognards;Nido di Avvoltoio;날벌레 둥지;Gniazdo os-ścierwieli;Ninho de Carniça;腐肉虫巢穴;食腐蟲巢
Shackled Ultralisk;Закованный ультралиск;Ultralisk, angekettet;Ultralisco encadenado;Ultralisco encadenado;Ultralisk enchaîné;Ultralisca in catene;묶여 있는 울트라리스크;Ultralisk w kajdanach;Mamuthus acorrentado;遭桎梏的雷兽;被禁錮的雷獸
Large Window;Большое окно;Fenster, groß;Ventana grande;Ventana grande;Grande fenêtre;Finestra grande;대형 창문;Duże okno;Janela grande;大窗口;大型窗
Celestial Beam Power Weapon;Небесный луч - мощная способность;Stellarstrahl - Macht, Waffe;Arma de potencia de haz celestial;Rayo celestial - Poder - Arma;Rayon céleste - Arme puissante;Raggio celestiale - Arma a energia;천상의 광선 동력 무기;Moc Niebiańskiego Promienia, Broń;Arma Poderosa de Feixe Celestial;Celestial Beam Power Weapon;星穹光束 - 能量 - 武器
Celestial Beam Weapon;Небесный луч - способность;Stellarstrahl - Waffe;Arma de haz celestial;Rayo celestial - Arma;Rayon céleste - Arme;Raggio celestiale - Arma;천상의 광선 무기;Niebiański Promień, Broń;Arma de Feixe Celestial;Celestial Beam Weapon;星穹光束 - 武器
Celestial Lock;Небесный затвор;Stellarschloss;Cierre celestial;Bloqueo celestial;Verrou céleste;Congegno celestiale;천상석;Niebiańska bariera;Trava Celestial;天锁;天星鎖
Cell Block B;Тюремный блок Б;Zellenblock B;Bloque de celdas B;Pabellón B;Quartier de détention B;Blocco di celle B;수용소 B;Blok więzienny B;Bloco de celas de prisão B;B区牢房;B 棟監獄
Cerberus (Left);Цербер (лев.);Zerberus (links);Cerbero (izquierda);Cerberus (izquierda);Cerbère (gauche);Cerbero (sinistra);케르베로스 (왼쪽);Cerber (lewa);Cerberus (Esquerda);地狱犬（左）;地獄犬（左側）
Cerberus (Right);Цербер (прав.);Zerberus (rechts);Cerbero (derecha);Cerberus (derecha);Cerbère (droite);Cerbero (destra);케르베로스 (오른쪽);Cerber (prawa);Cerberus (Direita);地狱犬（右）;地獄犬（右側）
Circle of Death;Цикл смерти;Kreis des Todes;Círculo de la muerte;Círculo de muerte;Cercle de mort;Circolo mortale;죽음의 원;Krąg śmierci;Círculo da Morte;死亡之环;死亡之環
Destructible Arch;Разрушаемая арка;Zerstörbarer Bogen;Arco destructible;Arco destruible;Arche destructible;Arcata distruggibile;파괴 가능한 아치;Zniszczalne Łuk;Arco Destrutível;可摧毁的拱门;可破壞的拱門
Destructible Arch Rubble;Разрушаемая каменная арка;Zerstörbares Geröll;Ruinas de arco destructibles;Arco destruible - Escombros;Gravats d’arche destructible;Macerie arcata distruggibile;파괴 가능한 아치 잡석;Zniszczalne Łuk Gruz;Destroço de Arco Destrutível;可摧毁的拱门废墟;可破壞的拱門殘礫
Small Egg Cluster;Маленькая кладка яиц;Kleines Gelege;Saco de huevos pequeño;Grupo de huevos pequeño;Petite poche d’œufs;Sacca di uova piccola;작은 알 더미;Małe skupisko jaj;Pequeno Aglomerado de Ovos;小型虫卵囊;小型蟲卵堆
Large Egg Cluster;Большая кладка яиц;Großes Gelege;Saco de huevos grande;Grupo de huevos grande;Grande poche d’œufs;Sacca di uova grande;큰 알 더미;Duże skupisko jaj;Grande Aglomerado de Ovos;大型虫卵囊;大型蟲卵堆
Egg Cluster;Кладка яиц;Gelege;Saco de huevos;Grupo de huevos;Poche d’œufs;Sacca di uova;알 더미;Duże skupisko jaj;Aglomerado de Ovos;虫卵囊;蟲卵堆
Charged Buster;Заряженный крушитель;Solarkanone;Arrasador cargado;Destructor cargado;Rupture solarienne;Mortaio perforante;충전 포;Działo Solarne;Demolidor Carregado;Charged Buster;充能轟砲
FenixChargedBusterUpgraded;FenixChargedBusterUpgraded;Fenix - Solarkanone, Upgrade;FenixChargedBusterUpgraded;FenixChargedBusterUpgraded;Fénix - Rupture solarienne - Amélioration;Fenix - Mortaio perforante potenziato;FenixChargedBusterUpgraded;FenixDziałoSolarytoweUlepszenie;FenixChargedBusterUpgraded;FenixChargedBusterUpgraded;菲尼克斯充能轟砲升級
Chrysalis Cocoon;Хризалида;Kokon;Capullo de crisálida;Capullo de Crisálida;Cocon de chrysalide;Bozzolo di Crisalide;번데기 고치;Kokon poczwarki;Ovo de crisálida;蛹茧;蟲蛹繭
Shikoto Coupe;Автомобиль «Шикото»;Shikoto Coupé;Berlina Shikoto;Cupé Shikoto;Coupé Shikoto;Shikoto Coupé;시코토 쿠페;Shikoto Coupe;Cupê Shikoto;新酷多多驱跑车;希可托雙門小轎車
Transport Ship;Мирный корабль - разрушенный;Transportschiff;Nave de transporte;Nave destruida;Vaisseau de transport;Nave da trasporto;수송선;Statek transportowy;Nave destroçada;运输舰;運輸船
Rock Tower;Груда камней;Felshaufen;Torre de roca;Torre de roca;Formation rocheuse;Torre di pietra;바위탑;Skalna wieża;Torre de Rocha;岩堆;石堆
Attack to collapse cave;Атакуйте, чтобы обрушить пещеру;Angreifen, um Höhle zum Einsturz zu bringen.;Ataca aquí para obstruir la cueva;Ataca para derribar la cueva;Attaquer pour obstruer la galerie;Attacca per far crollare la caverna;공격하여 동굴 붕괴;Zaatakuj, aby zawalić jaskinię;Ataque para derrubar caverna;攻击以使洞穴塌陷;攻擊此處，讓洞穴崩塌
Collapsing Building NE;Обрушивающееся строение – СВ;Einstürzendes Gebäude - Nordosten;Edificio en ruinas NE;Edificación en ruinas - NE;Bâtiment destructible NE;Struttura instabile - NE;붕괴하는 건물 NE;Walący się budynek PnW;Prédio Desmoronando NE;Collapsing Building NE;崩塌的建築 - 東北
Collapsing Building NE Collapsed;Обрушивающееся строение – СВ – обрушенное;Einstürzendes Gebäude - Nordosten, eingestürzt;Edificio en ruinas NE caído;Edificación en ruinas - NE - Derrumbada;Bâtiment destructible NE - Effondré;Struttura instabile - NE - Crollata;붕괴하는 건물 NE 붕괴됨;Walący się budynek PnW Zawalony;Prédio Desmoronando NE Desmoronado;Collapsing Building NE Collapsed;崩塌的建築 - 東北 - 已崩塌
Collapsing Building NW;Обрушивающееся строение – СЗ;Einstürzendes Gebäude - Nordwesten;Edificio en ruinas NO;Edificación en ruinas - NO;Bâtiment destructible NO;Struttura instabile - NO;붕괴하는 건물 NW;Walący się budynek PnZ;Prédio Desmoronando NO;Collapsing Building NW;崩塌的建築 - 西北
Collapsing Building NW Collapsed;Обрушивающееся строение – СЗ – обрушенное;Einstürzendes Gebäude - Nordwesten, eingestürzt;Edificio en ruinas NO caído;Edificación en ruinas - NO - Derrumbada;Bâtiment destructible NO - Effondré;Struttura instabile - NO - Crollata;붕괴하는 건물 NW 붕괴됨;Walący się budynek PnZ Zawalony;Prédio Desmoronando NO Desmoronado;Collapsing Building NW Collapsed;崩塌的建築 - 西北 - 已崩塌
Collapsing Building SE;Обрушивающееся строение – ЮВ;Einstürzendes Gebäude - Südosten;Edificio en ruinas SE;Edificación en ruinas - SE;Bâtiment destructible SE;Struttura instabile - SE;붕괴하는 건물 SE;Walący się budynek PdW;Prédio Desmoronando SE;Collapsing Building SE;崩塌的建築 - 東南
Collapsing Building SE Collapsed;Обрушивающееся строение – ЮВ – обрушенное;Einstürzendes Gebäude - Südosten, eingestürzt;Edificio en ruinas SE caído;Edificación en ruinas - SE - Derrumbada;Bâtiment destructible SE - Effondré;Struttura instabile - SE - Crollata;붕괴하는 건물 SE 붕괴됨;Walący się budynek PdW Zawalony;Prédio Desmoronando SE Desmoronado;Collapsing Building SE Collapsed;崩塌的建築 - 東南 - 已崩塌
Collapsing Building SW;Обрушивающееся строение – ЮЗ;Einstürzendes Gebäude - Südwesten;Edificio en ruinas SO;Edificación en ruinas - SO;Bâtiment destructible SO;Struttura instabile - SO;붕괴하는 건물 SW;Walący się budynek PdZ;Prédio Desmoronando SO;Collapsing Building SW;崩塌的建築 - 西南
Collapsing Building SW Collapsed;Обрушивающееся строение – ЮЗ – обрушенное;Einstürzendes Gebäude - Südwesten, eingestürzt;Edificio en ruinas SO caído;Edificación en ruinas - SO - Derrumbada;Bâtiment destructible SO - Effondré;Struttura instabile - SO - Crollata;붕괴하는 건물 SW 붕괴됨;Walący się budynek PdZ Zawalony;Prédio Desmoronando SO Desmoronado;Collapsing Building SW Collapsed;崩塌的建築 - 西南 - 已崩塌
Colonist Bio-Dome;Биокупол колонистов;Kolonistenbiodom;Biodomo colonial;Biodomo colonial;Biodôme de la colonie;Biocupola coloniale;거주민 생태관;Biokopuła kolonistów;Biodomo dos colonos;移民生态馆;殖民生態館
Colony Ship;Корабль колонистов;Kolonieschiff;Nave colonial;Nave colonial;Vaisseau de la colonie;Nave coloniale;거주민 우주선;Statek kolonistów;Nave-colônia;移民飞船;殖民船
Armored Personnel Carrier;Бронетранспортер колонистов;Gepanzerter MTW;Transporte blindado de personas;Transporte blindado de personal;Transport de personnel blindé;Trasporto corazzato di fanteria;병력 수송 장갑차;Transporter opancerzony;Transporte blindado;装甲运兵车;私人武裝運輸車
Orion Turbo Coupe;Автомобиль «Орион-Турбо»;Orion Turbo-Coupé;Berlina turbo Orión;Cupé turbo Orión;Coupé turbo Orion;Orion Turbo Coupé;오리온 터보 쿠페;Orion Turbo Coupe;Cupê turbo Orion;奥利安涡轮跑车;獵戶座渦輪雙門小轎車
L2 Speedwheeler;L2 «Скороход»;L2 Speedwheeler;L2 Speedwheeler;Bólido L2;Surbolide L2;L2 Speedwheeler;L2 고속자동차;Speedwheeler L2;L2 Rodarápida;2级单驱悬浮车;L2疾速機動載具
Colony Infestation;Заражение колонии;Kolonie - Verseuchung;Infestación de la colonia;Infestación de colonia;Contamination de la colonie;Infestazione colonia;거주지 감염;Infekcja kolonii;Infestação da colônia;移民地感染;殖民地感染
Unbound Fanatic;Неистовый фанатик;Ungebundener Fanatiker;Sectario desatado;Fanático desatado;Fanatique exalté;Fanatico scatenato;해방된 광신도;Bezgraniczny Fanatyk;Fanático Livre;无拘狂热者;無縛狂熱者
CommanderPrestigeArtanisOrbitalStrikesArchonEnergy;;;;;;;;;;;
CommanderPrestigeZeratulTornadoesTornado;;;;;;;;;;;
Compound Sewers Door Thin E;Compound Sewers Door Thin E;Anlage - Kanalisation, Tür - dünn, O;Cloacas del recinto: puerta fina este;Alcantarillas del complejo - Puerta - Delgada - E;Complexe - Porte des égouts - Fine - Est;Fogne del complesso - Porta stretta E;Compound Sewers Door Thin E;Kanały bazy, Drzwi, Wąskie W;Esgoto do Complexo - Porta Estreita Leste;Compound Sewers Door Thin E;基地下水道東側窄門
Compound Sewers Door Thin E Lowered;Compound Sewers Door Thin E Lowered;Anlage - Kanalisation, Tür - dünn, O - gesenkt;Cloacas del recinto: puerta fina este bajada;Alcantarillas del complejo - Puerta - Delgada - E - Cerrada;Complexe - Porte des égouts - Fine - Est - Abaissée;Fogne del complesso - Porta stretta E - Abbassata;Compound Sewers Door Thin E Lowered;Kanały bazy, Drzwi, Wąskie W, Obniżone;Esgoto do Complexo - Porta Estreita Leste Abaixada;Compound Sewers Door Thin E Lowered;基地下水道東側已開啟的窄門
Compound Sewers Door Thin N;Compound Sewers Door Thin N;Anlage - Kanalisation, Tür - dünn, N;Cloacas del recinto: puerta fina norte;Alcantarillas del complejo - Puerta - Delgada - N;Complexe - Porte des égouts - Fine - Nord;Fogne del complesso - Porta stretta N;Compound Sewers Door Thin N;Kanały bazy, Drzwi, Wąskie Pn;Esgoto do Complexo - Porta Estreita Norte;Compound Sewers Door Thin N;基地下水道北側窄門
Compound Sewers Door Thin NE;Compound Sewers Door Thin NE;Anlage - Kanalisation, Tür - dünn, NO;Cloacas del recinto: puerta fina noreste;Alcantarillas del complejo - Puerta - Delgada - NE;Complexe - Porte des égouts - Fine - Nord-est;Fogne del complesso - Porta stretta NE;Compound Sewers Door Thin NE;Kanały bazy, Drzwi, Wąskie PnW;Esgoto do Complexo - Porta Estreita Nordeste;Compound Sewers Door Thin NE;基地下水道東北側窄門
Compound Sewers Door Thin NE Lowered;Compound Sewers Door Thin NE Lowered;Anlage - Kanalisation, Tür - dünn, NO - gesenkt;Cloacas del recinto: puerta fina noreste bajada;Alcantarillas del complejo - Puerta - Delgada - NE - Cerrada;Complexe - Porte des égouts - Fine - Nord-est - Abaissée;Fogne del complesso - Porta stretta NE - Abbassata;Compound Sewers Door Thin NE Lowered;Kanały bazy, Drzwi, Wąskie PnW, Obniżone;Esgoto do Complexo - Porta Estreita Nordeste Abaixada;Compound Sewers Door Thin NE Lowered;基地下水道東北側已開啟的窄門
Compound Sewers Door Thin N Lowered;Compound Sewers Door Thin N Lowered;Anlage - Kanalisation, Tür - dünn, N - gesenkt;Cloacas del recinto: puerta fina norte bajada;Alcantarillas del complejo - Puerta - Delgada - N - Cerrada;Complexe - Porte des égouts - Fine - Nord - Abaissée;Fogne del complesso - Porta stretta N - Abbassata;Compound Sewers Door Thin N Lowered;Kanały bazy, Drzwi, Wąskie Pn, Obniżone;Esgoto do Complexo - Porta Estreita Norte Abaixada;Compound Sewers Door Thin N Lowered;基地下水道北側已開啟的窄門
Compound Sewers Door Thin NW;Compound Sewers Door Thin NW;Anlage - Kanalisation, Tür - dünn, NW;Cloacas del recinto: puerta fina noroeste;Alcantarillas del complejo - Puerta - Delgada - NO;Complexe - Porte des égouts - Fine - Nord-ouest;Fogne del complesso - Porta stretta NO;Compound Sewers Door Thin NW;Kanały bazy, Drzwi, Wąskie PnZ;Esgoto do Complexo - Porta Estreita Noroeste;Compound Sewers Door Thin NW;基地下水道西北側窄門
Compound Sewers Door Thin NW Lowered;Compound Sewers Door Thin NW Lowered;Anlage - Kanalisation, Tür - dünn, NW - gesenkt;Cloacas del recinto: puerta fina noroeste bajada;Alcantarillas del complejo - Puerta - Delgada - NO - Cerrada;Complexe - Porte des égouts - Fine - Nord-ouest - Abaissée;Fogne del complesso - Porta stretta NO - Abbassata;Compound Sewers Door Thin NW Lowered;Kanały bazy, Drzwi, Wąskie PnZ, Obniżone;Esgoto do Complexo - Porta Estreita Noroeste Abaixada;Compound Sewers Door Thin NW Lowered;基地下水道西北側已開啟的窄門
Compound Sewers Door Wide E;Compound Sewers Door Wide E;Anlage - Kanalisation, Tür - breit, O;Cloacas del recinto: puerta ancha este;Alcantarillas del complejo - Puerta - Ancha - E;Complexe - Porte des égouts - Large - Est;Fogne del complesso - Porta larga E;Compound Sewers Door Wide E;Kanały bazy, Drzwi, Szerokie W;Esgoto do Complexo - Porta Larga Leste;Compound Sewers Door Wide E;基地下水道東側寬門
Compound Sewers Door Wide E Lowered;Compound Sewers Door Wide E Lowered;Anlage - Kanalisation, Tür - breit, O - gesenkt;Cloacas del recinto: puerta ancha este bajada;Alcantarillas del complejo - Puerta - Ancha - E - Cerrada;Complexe - Porte des égouts - Large - Est - Abaissée;Fogne del complesso - Porta larga E - Abbassata;Compound Sewers Door Wide E Lowered;Kanały bazy, Drzwi, Szerokie W, Obniżone;Esgoto do Complexo - Porta Larga Leste Abaixada;Compound Sewers Door Wide E Lowered;基地下水道東側已開啟的寬門
Compound Sewers Door Wide N;Compound Sewers Door Wide N;Anlage - Kanalisation, Tür - breit, N;Cloacas del recinto: puerta ancha norte;Alcantarillas del complejo - Puerta - Ancha - N;Complexe - Porte des égouts - Large - Nord;Fogne del complesso - Porta larga N;Compound Sewers Door Wide N;Kanały bazy, Drzwi, Szerokie Pn;Esgoto do Complexo - Porta Larga Norte;Compound Sewers Door Wide N;基地下水道北側寬門
Compound Sewers Door Wide NE;Compound Sewers Door Wide NE;Anlage - Kanalisation, Tür - breit, NO;Cloacas del recinto: puerta ancha noreste;Alcantarillas del complejo - Puerta - Ancha - NE;Complexe - Porte des égouts - Large - Nord-est;Fogne del complesso - Porta larga NE;Compound Sewers Door Wide NE;Kanały bazy, Drzwi, Szerokie PnW;Esgoto do Complexo - Porta Larga Nordeste;Compound Sewers Door Wide NE;基地下水道東北側寬門
Compound Sewers Door Wide NE Lowered;Compound Sewers Door Wide NE Lowered;Anlage - Kanalisation, Tür - breit, NO - gesenkt;Cloacas del recinto: puerta ancha noreste bajada;Alcantarillas del complejo - Puerta - Ancha - NE - Cerrada;Complexe - Porte des égouts - Large - Nord-est - Abaissée;Fogne del complesso - Porta larga NE - Abbassata;Compound Sewers Door Wide NE Lowered;Kanały bazy, Drzwi, Szerokie PnW, Obniżone;Esgoto do Complexo - Porta Larga Nordeste Abaixada;Compound Sewers Door Wide NE Lowered;基地下水道東北側已開啟的寬門
Compound Sewers Door Wide N Lowered;Compound Sewers Door Wide N Lowered;Anlage - Kanalisation, Tür - breit, N - gesenkt;Cloacas del recinto: puerta ancha norte bajada;Alcantarillas del complejo - Puerta - Ancha - N - Cerrada;Complexe - Porte des égouts - Large - Nord - Abaissée;Fogne del complesso - Porta larga N - Abbassata;Compound Sewers Door Wide N Lowered;Kanały bazy, Drzwi, Szerokie Pn, Obniżone;Esgoto do Complexo - Porta Larga Norte Abaixada;Compound Sewers Door Wide N Lowered;基地下水道北側已開啟的寬門
Compound Sewers Door Wide NW;Compound Sewers Door Wide NW;Anlage - Kanalisation, Tür - breit, NW;Cloacas del recinto: puerta ancha noroeste;Alcantarillas del complejo - Puerta - Ancha - NO;Complexe - Porte des égouts - Large - Nord-ouest;Fogne del complesso - Porta larga NO;Compound Sewers Door Wide NW;Kanały bazy, Drzwi, Szerokie PnZ;Esgoto do Complexo - Porta Larga Noroeste;Compound Sewers Door Wide NW;基地下水道西北側寬門
Compound Sewers Door Wide NW Lowered;Compound Sewers Door Wide NW Lowered;Anlage - Kanalisation, Tür - breit, NW - gesenkt;Cloacas del recinto: puerta ancha noroeste bajada;Alcantarillas del complejo - Puerta - Ancha - NO - Cerrada;Complexe - Porte des égouts - Large - Nord-ouest - Abaissée;Fogne del complesso - Porta larga NO - Abbassata;Compound Sewers Door Wide NW Lowered;Kanały bazy, Drzwi, Szerokie PnZ, Obniżone;Esgoto do Complexo - Porta Larga Noroeste Abaixada;Compound Sewers Door Wide NW Lowered;基地下水道西北側已開啟的寬門
Vent;Клапан;Lüftungsschacht;Respiradero;Ventilación;Bouche d’aération;Grata;환풍구;Wentylacja;Ventilação;通风孔;通風口
Consume DNA Feedback Weapon;Поглотить ДНК - отклик оружия;DNS aufzehren, Rückmeldung - Waffe;Consumir ADN arma de retroalimentación;Consumir ADN - Arma de retroalimentación;Retour de l’arme Consommer ADN;Consumo DNA - risposta arma;DNA 흡수 반응 무기;Pochłoń DNA – sprzężenie – broń;Consumir DNA - Arma de retrochoque;DNA吞噬反蚀武器;吸收 DNA - 回饋 - 武器
Coop Assist Caster Raynor;(Совм.) – помощь – заклинатель – Рейнор;Co-op - Assist, Caster - Raynor;Cooperativo: Raynor irradiador auxiliar;Cooperativo - Ayudante - Lanzador - Raynor;Coop - Assist - Lanceur - Raynor;Cooperativa - Lanciatore assist - Raynor;협동전 지원 시전자 레이너;Współpraca, Pomoc, Rzucający, Raynor;Coop - Lançador de Apoio - Raynor;Coop Assist Caster Raynor;合作 - 支援 - 施放者 - 雷諾
Coop Caster Abathur;Заклинатель Абатур в совместном режиме;Co-op - Caster, Abathur;Cooperativo: irradiador: Abathur;Cooperativo - Lanzador - Abathur;Annonceur en coop Abathur;Cooperativa - Lanciatore Abathur;협동전 시전자 아바투르;Współpraca, Rzucający, Abatur;Coop - Lançador - Abathur;合作任务 施法者 阿巴瑟;合作 - 施放者 - 阿巴瑟
Coop Caster Alarak;Заклинатель Аларак в совместном режиме;Co-op - Caster, Alarak;Cooperativo: irradiador: Alarak;Cooperativo - Lanzador - Alarak;Annonceur en coop Alarak;Cooperativa - Lanciatore - Alarak;협동전 시전자 알라라크;Współpraca, Rzucający, Alarak;Cooperativo - Lançador - Alarak;合作任务 施法者 阿拉纳克;合作 - 施放者 - 亞拉瑞克
Coop Caster Dehaka;Заклинатель Дехака в совместном режиме;Co-op - Caster, Dehaka;Cooperativo: irradiador: Dehaka;Cooperativo - Lanzador - Dehaka;Annonceur en coop Dehaka;Cooperativa - Lanciatore Dehaka;협동전 시전자 데하카;Koop, Rzucający, Dehaka;Lançador Cooperativo Dehaka;合作任务 施法者 德哈卡;合作任務施放者德哈卡
Coop Caster Horner;(Совм.) – заклинатель – Хорнер;Co-op - Caster, Horner;Horner: irradiador coop;Cooperativo - Lanzador - Horner;Annonceur en coop Matt Horner;Cooperativa - Lanciatore - Horner;협동전 시전자 호너;Współpraca, Używający, Horner;Lançador Cooperativo Horner;合作任务 施法者 霍纳;合作任務技能施放者霍納
Coop Caster Kerrigan;Заклинатель Керриган в совместном режиме.;Co-op - Caster, Kerrigan;Cooperativo: irradiador: Kerriga;Cooperativo - Lanzador - Kerrigan;Annonceur en coop Kerrigan;Cooperativa - Lanciatore Kerrigan;협동전 시전자 케리건;Współpraca, Używający, Kerrigan;Coop - Lançador - Kerrigan;合作任务 施法者 凯瑞甘;合作 - 施放者 - 凱莉根
Coop Caster Nova;Заклинатель Нова в совместном режиме;Co-op - Caster, Nova;Irradiador cooperativo: Nova;Cooperativo - Lanzador - Nova;Annonceur en coop Nova;Cooperativa - Lanciatore - Nova;협동전 시전자 노바;Współpraca, Używający, Nova;Coop - Lançador - Nova;合作任务施法者诺娃;合作 - 施放者 - 諾娃
Coop Caster Raynor;(Совм.) – заклинатель – Рейнор;Co-op - Caster, Raynor;Cooperativo: Raynor irradiador;Cooperativo - Lanzador - Raynor;Annonceur en coop Raynor;Cooperativa - Lanciatore - Raynor;협동전 시전자 레이너;Współpraca, Rzucający, Raynor;Coop - Lançador - Raynor;Coop Caster Raynor;合作 - 施放者 - 雷諾
Coop Caster Stukov;(Совм.) – заклинатель – Стуков;Co-op - Caster, Stukov;Cooperativo: Stukov irradiador;Coop - Lanzador - Stukov;Annonceur en coop Stukov;Cooperativa - Lanciatore - Stukov;협동전 시전자 스투코프;Współpraca, Rzucający, Stiukow;Lançador Cooperativo Stukov;合作任务 施法者 斯托科夫;合作_施放者_斯杜科夫
Coop Caster Swann;(Совм.) – заклинатель – Свонн;Co-op - Caster, Swann;Cooperativo: Swann irradiador;Cooperativo - Lanzador - Swann;Annonceur en coop Swann;Cooperativa - Lanciatore - Swann;협동전 시전사 스완;Współpraca, Rzucający, Swann;Coop - Lançador - Swann;Coop Caster Swann;合作 - 施放者 - 史汪
Coop Caster Tychus;(Совм.) – заклинатель – Тайкус;Co-op - Caster, Tychus;Cooperativo: irradiador: Tychus;Cooperativo - Lanzador - Tychus;Annonceur en coop Tychus;Cooperativa - Lanciatore Tychus;협동전 시전자 타이커스;Współpraca, Używający, Tychus;Lançador Cooperativo Tychus;Coop Caster Tychus;合作 - 施放者 - 泰科斯
Coop Caster Zagara;Заклинатель Загара в совместном режиме;Co-op - Caster, Zagara;Cooperativo: irradiador: Zagara;Cooperativo - Lanzador - Zagara;Annonceur en coop Zagara;Cooperativa - Lanciatore Zagara;협동전 시전자 자가라;Współpraca, Używający, Nova;Zagara - Lançador - Coop;合作任务 施法者 扎加拉;合作 - 施放者 - 札迦拉
Coop Caster Zeratul;(Совм.) – заклинатель – Зератул;Co-op - Caster, Zeratul;Comentarista cooperativo: Zeratul;Cooperativo - Lanzador - Zeratul;Annonceur en coop Zeratul;Cooperativa - Lanciatore Zeratul;협동전 시전자 제라툴;Współpraca, Używający, Zeratul;Lançador Cooperativo Zeratul;合作任务 施法者 泽拉图;合作任務施放者澤拉圖
Coop Caster Zeratul (Specialization);Coop Caster Zeratul (Specialization);Co-op - Caster, Zeratul (Spezialisierung);Irradiador cooperativo Zeratul (especialización);Cooperativo - Lanzador - Zeratul (Especialización);Annonceur en coop Zeratul (spécialisation);Cooperativa - Lanciatore Zeratul (specializzazione);협동전 시전자 제라툴 (전문화);Współpraca, Używający, Zeratul (Specjalizacja);Lançador Cooperativo Zeratul (Especialização);Coop Caster Zeratul (Specialization);合作任務施放者澤拉圖（專精化）
Terran Bomb;Бомба терранов;Terranische Bombe;Bomba terran;Bomba terran;Bombe terrane;Bomba terran;테란 폭탄;Bomba terran;Bomba Terrana;人类炸弹;人類炸彈
Corrosive Acid Missile;Снаряд с едкой кислотой;Ätzende Säure - Geschoss;Misil de ácido corrosivo;Ácido corrosivo - Misil;Acide corrosif - Projectile;Acido corrosivo - Missile;부식성 산 투사체;Żrący kwas, Pocisk;Corrosive Acid Missile;腐蚀强酸发射物;腐蝕酸液 - 飛彈
Swann's Special Delivery;Особая доставка Свонна;Swanns spezielle Lieferung;Entrega especial de Swann;Entrega especial de Swann;Livraison spéciale de Swann;Consegna speciale di Swann;스완 특급 배달;Przesyłka specjalna Swanna;Entrega Especial de Swann;斯旺的特殊快递;史汪的特別快遞
Dynamic Creep Blocker 13x13;Динамическое заграждение для слизи 13x13;Dynamische Kriecherblockierung 13x13;Bloqueador de biomateria dinámico 13x13;Bloqueador de talo dinámico 13x13;Obstacle dynamique au mucus 13x13;Ostruzione dinamica biostrato 13x13;동적 점막 방해물 13x13;Dynamiczna blokada biomasy 13x13;Bloqueio Dinâmico de Gosma 13x13;Dynamic Creep Blocker 13x13;動態蟲苔障礙物 13x13
Creep Colony;Колония слизи;Kriecherkolonie;Colonia de biomateria;Colonia de talo;Tumeur mucigène;Colonia propagante;점막 군체;Kolonia biomasy;Colônia de Gosma;菌毯覆盖地;蟲苔殖穴
