Arclite Shock Cannon;Осадная пушка «Радуга»;Arclite-Schockkanone;Cañón de impacto arcolux;Cañón de impacto Arclite;Canon choc Arclite;Cannone d'assedio Arclite;아크라이트 충격포;Działo burzące Arclite;Canhão de choque Arcolite;弧光震击炮;弧光衝擊加農砲
Splitterling;Дроблинг;Splitterling;Plagaling;Mitocito;Scissieux;Mitoside;쌍독충;Rozszczepieniec;Mitosídeo;分裂虫;分裂蟲
Locust Spawn;Саранчиды;Schrecken;Engendrar langostas;Engendrar langostas;Génération de nuisibles;Genera Locuste;식충 생성;Powicie szarańczy;Gerar Gafanhoto;蝗虫孵化;蝗蟲孵化
Locust Melee;Саранчид - ближний бой;Schreckennahkampf;Langosta de refriega;Langosta - Melé;Nuisible - mêlée;Mischia Locuste;식충 근접;Szarańcza, Walka wręcz;Gafanhoto Corpo-a-corpo;蝗虫近战;蝗蟲 - 近戰攻擊
T-200 Modular Assault Cannon;Ручное осадное орудие T-200;Modulararmkanone T-200;Cañón de asalto modular T-200;Cañón de asalto modular T-200;Canon d’assaut modulaire T-200;Cannone d'assalto modulare T-200;T-200 모듈식 공격포;Naręczne działo szturmowe T-200;Canhão de ataque T-200 Modular;T-200模块化突击加农炮;T-200模組式突擊砲
Medium Splitterling;Средний дроблинг;Mittlerer Splitterling;Plagaling mediano;Mitocito mediano;Scissieux moyen;Mitoside medio;중간 쌍독충;Średni rozszczepieniec;Mitosídeo Médio;中型分裂虫;中型分裂蟲
Thunderbolt Rail Gun;Электромагнитная импульсная пушка;Donnerblitz-Railgun;Arma de raíles Trueno;Cañón de riel Relámpago;Canon à rail foudroyant;Cannone elettrico Thunderbolt;천둥 레일건;Gromowe działo kinetyczne;Arma Magnética de Seta Trovejante;霹雳电磁炮;雷光磁軌砲
Gatling Cannons;Шестиствольные пулеметы;Gatling-Kanonen;Cañones gatling;Cañones Gatling;Canons Gatling;Cannoni Gatling;개틀링 포;Działka Gatlinga;Canhões Gatling;格林机关炮;格林式加農砲
Hellfire Flamethrower;Огнемет «Адское пламя»;Höllenfeuer-Flammenwerfer;Lanzallamas averno;Lanzallamas Inferno;Lance-flammes Feu d’enfer;Lanciafiamme Hellfire;지옥불 화염방사기;Miotacz ognia Hellfire;Lança-chamas Inferno;炼狱火焰喷射器;獄炎式火焰發射器
C-14 Gauss Rifle;Винтовка Гаусса С-14;C-14 Gaußgewehr;Fusil gauss C-14;Rifle Gauss C-14;Fusil Gauss C-14;Fucile gaussiano C-14;C-14 가우스 소총;Karabin Gaussa C-14;Rifle Gauss C-14;C-14型电磁枪;C-14電磁步槍
D-9 Charge;Взрывчатка D-9;D9-Ladung;Carga D-9;Carga D-9;Charge de D-9;Carica D-9;D-9 충전;Ładunek D9;Carga D-9;D9炸药;D9炸藥
P-55 "Scythe" Gauss Pistol;Пистолет Гаусса P-55 «Тесак»;P55 'Vendetta' Gaußpistole;Pistola gauss guadaña P-55;Pistola Gauss P-55 "Guadaña";Pistolet Gauss P-55 « la faux »;Pistola gaussiana P-55 "Falce";P-55 "죽음의 낫" 가우스 소총;Pistolet Gaussa P55 „Kosa”;Pistola Gauss P-55 ‘Foice';P-55“镰刀”高斯枪;P-55「長柄鐮刀」電磁手槍
90mm Cannon;90-мм пушка;90 mm Kanone;Cañón de 90 mm;Cañón de 90 mm;Canon 90 mm;Cannone da 90mm;90mm 포;Działa 90 mm;Canhão de 90 mm;90毫米口径火炮;90毫米加農砲
Javelin Missile Launchers;Ракетные установки «Дротик»;Javelin-Raketenwerfer;Lanzamisiles jabalina;Lanzamisiles Colihue;Lance-missiles Javelot;Lanciamissili Javelin;재블린 미사일 발사기;Wyrzutnie rakiet „Oszczep”;Lançadores de mísseis-dardo;标枪导弹发射筒;標槍飛彈發射器
Gauss Cannon;Пушка Гаусса;Gaußkanone;Cañón gauss;Cañón Gauss;Canon Gauss;Cannone gaussiano;가우스 포;Działo Gaussa;Canhão Gauss;高斯炮;電磁加農砲
Neutron Flare;Нейтронная вспышка;Neutronenblitz;Bengala de neutrones;Destello de neutrón;Éruption neutronique;Bengala a neutroni;중성자 섬광탄;Flara neutronowa;Sinalizador de Nêutrons;中子照明弹;中子光彈
Parasite Spore;Паразитические споры;Parasitäre Spore;Espora parásito;Esporas parásitas;Spore parasite;Spora parassita;기생충 포자;Zarodnik pasożyta;Esporo de Parasita;寄生孢子;寄生孢子
Primal Flyer;Изначальный летающий объект;Flugeinheit der Urzerg;Primigenio volador;Volador primigenio;Volant primordial;Aereo primordiale;원시 비행체;Pierwotny Latający;Voador Primevo;原始飞行生物;飛行原生種
Primal Ranged;Изначальное дальнобойное орудие;Fernkampfeinheit der Urzerg;Primigenio a distancia;Primigenio de largo alcance;Primordial à distance;Distanza primordiale;원시 원거리;Pierwotny Dystansowy;Projétil Primevo;原始远程生物;遠程原生種
Primal Hydralisk Melee;Изначальный гидралиск - ближний бой;Urhydraliskennahkampfangriff;Hidralisco primigenio de refriega;Hidralisco primigenio - Melé;Hydralisk primordial - mêlée;Mischia Idralisca primordiale;원시 히드라리스크 근접;Pierwotny hydralisk, zwarcie –;Hidralisca Primeva Corpo-a-corpo;原始刺蛇近战;原生刺蛇 - 近戰攻擊
Primal Locust Flying;Изначальный летающий саранчид;Fliegende Urschrecke;Langosta primigenia volando;Langosta voladora primigenia;Nuisible primordial volant;Locusta primordiale volante;원시 비행 식충;Pierwotna szarańcza, latająca;Gafanhoto Primevo Voando;原始飞行蝗虫;原生蝗蟲 - 飛行
Locust Launch;Порождение саранчидов;Schrecken;Lanzamiento de langosta;Lanzamiento de langostas;Lancement de nuisibles;Lancio di Locuste;식충 발사;Wypuszczenie szarańczy;Lançamento de Gafanhoto;发射蝗虫;發射蝗蟲
Acid Saliva;Кислотная слюна;Säurespeichel;Saliva ácida;Saliva ácida;Salive acide;Saliva acida;산성 타액;Kwasowa ślina;Saliva ácida;酸性唾液;強酸唾液
Subterranean Tentacle;Подземное щупальце;Unterirdisches Tentakel;Tentáculo subterráneo;Tentáculo subterráneo;Tentacule souterrain;Tentacolo sotterraneo;지하 촉수;Podziemna macka;Tentáculos Subterrâneos;潜地触须;地底觸手
Volatile Projection;Кислотный обстрел по земле;Explosive Detonation;Proyección volátil;Proyección volátil;Projection incontrôlée;Secrezione ustionante;휘발성 돌기;Kwasowa eksplozja;Projeção Volátil;不稳定投射物;烈蝕投射
Roach Corpser Melee;Таракан - труповик - ближний бой;Schlupfschabennahkampfangriff;Cucaracha carroñero - refriega;Cucaracha - Bracónido - Melé;Cafard nécropare - mêlée;Mischia Blatta Necrofago;바퀴 송장벌레 근접;Karakan, trupiarz, Walka wręcz;Barata Corpo-a-Corpo Cadávero;蟑螂尸体虫 近战;蟑螂屍獸 - 近戰攻擊
Explosive Projectile;Разрывной снаряд;Explosives Geschoss;Proyectil explosivo;Proyectil explosivo;Projectile explosif;Proiettile esplosivo;폭발 투사체;Wybuchowy pocisk;Projétil Explosivo;爆炸;爆裂投射物
Hyperion Fighter;Истребитель «Гипериона»;Hyperion-Kampfflieger;Caza del Hyperion;Caza del Hiperión;Chasseur de l’Hypérion;Caccia dell'Hyperion;히페리온 전투기;Hyperion - myśliwiec;Caça da Hipérion;休伯利安号战斗机;海伯利昂號 - 戰鬥機
SJ Fighter1 Starport;SJ - истребитель 1 - космопорт;SJ - Kampfflieger 1, Raumhafen;Portal estelar caza1 SJ;SJ Caza 1 - Puerto estelar;SJ - Chasseur 1 - Spatioport;Caccia Portale stellare 1 SJ;SJ 전투기1 우주공항;SJ Myśliwiec1 – Port kosmiczny;Estaleiro sideral Caça1 SJ;SJ战斗机1 星港;SJ - 戰鬥機1 - 星際港
Claw Missiles;Ракеты «Коготь»;Klauenraketen;Misiles de garra;Misiles garra;Missiles griffes;Missili Claw;발톱 미사일;Pociski szponowe;Mísseis de Garra;利爪导弹;獸爪飛彈
Primary Laser Battery;Главная лазерная батарея;Primäre Laserbatterie;Batería de láseres primaria;Batería láser principal;Batterie de lasers principale;Batteria laser primaria;원시 레이저 포대;Podstawowa bateria laserów;Bateria Laser Primária;主激光炮组;主雷射砲
Secondary Laser Battery;Вспомогательная лазерная батарея;Sekundäre Laserbatterie;Batería de láseres secundaria;Batería láser secundaria;Batterie de lasers secondaire;Batteria laser secondaria;2차 레이저 배터리;Pomocnicza bateria laserów;Bateria Laser Secundária;副激光炮组;副雷射砲
Havoc ATA System;Противовоздушная система «Разрушитель»;LL-Abwehrsystem "Chaos";Sistema destructor AA;Sistema ATA Havoc;Système dévastateur air-air;Sistema antiaereo Havoc;하복 공대공 시스템;Ogromne działo Gaussa;Sistema Havoc ATA;毁灭型空对空系统;浩劫式 ATA 系統
Cluster Rockets;Кассетные ракеты;Streuraketen;Cohetes de racimo;Cohetes de racimo;Roquettes à fragmentation;Salva di razzi;집속탄;Rakiety kasetowe;Foguetes Fragmentários;集束火箭;集束火箭
Cluster Rockets 1;Кассетные ракеты 1;Streuraketen 1;Cohetes de racimo 1;Cohetes de racimo 1;Roquettes à fragmentation 1;Salva di razzi 1;집속탄 1;Rakiety kasetowe 1;Foguetes Fragmentários 1;集束火箭 1;集束火箭1
Cluster Rockets 2;Кассетные ракеты 2;Streuraketen 2;Cohetes de racimo 2;Cohetes de racimo 2;Roquettes à fragmentation 2;Salva di razzi 2;집속탄 2;Rakiety kasetowe 2;Foguetes Fragmentários 2;集束火箭 2;集束火箭2
Cluster Rockets 3;Кассетные ракеты 3;Streuraketen 3;Cohetes de racimo 3;Cohetes de racimo 3;Roquettes à fragmentation 3;Salva di razzi 3;집속탄 3;Rakiety kasetowe 3;Foguetes Fragmentários 3;集束火箭 3;集束火箭3
Point Defense Laser;Лазер точечной обороны;Verteidigungslaser;Láser de defensa de punto;Láser de defensa puntual;Laser de défense rapprochée;Laser di difesa puntuale;국지 방어 레이저;Laser obrony punktowej;Laser de defesa pontual;定点防御激光;定點防禦雷射
Devastator ATA Array;Противовоздушная батарея «Разрушитель»;LL-Abwehrsystem "Verwüster";Conjunto AA devastador;Devastador - Matriz ATA;Panoplie air-air de dévastateur;Batteria aria-aria Devastator;파괴자 공대공 배치;System rakietowy P-P „Dewastator”;Matriz ATA Devastador;破坏者空对空光束;破壞者 ATA 陣列砲
Phobos-Class Torpedo System;Торпеды класса «Фобос»;Torpedosystem der Phobos-Klasse;Sistema de torpedo de clase phobos;Sistema de torpedos clase Phobos;Système à torpilles de classe Phobos;Sistema torpedo classe Fobos;포보스급 어뢰 시스템;Rakiety;Sistema de Torpedos Classe Fobos;福波斯级鱼雷系统;福波斯級魚雷系統
H.A.L.O. Cluster Rockets;Кассетные ракеты «ГАЛО»;"H.A.L.O."-Streubomben;Cohetes de racimo H.A.L.O.;Cohetes de racimo H.A.L.O.;Fusées à fragmentation de haute altitude avec ouverture à basse altitude;Salva di razzi H.A.L.O.;고고도 대형 광학 로켓;Bomby kasetowe;Foguetes Fragmentários H.A.L.O.;H.A.L.O.集束炸弹;光環式集束火箭
Parasitic Spray;Паразитический залп;Parasitisches Bespritzen;Ácido parasítico;Rocío parasitario;Giclée de parasites;Spruzzo parassitario;빙결 분사;Rozrzut pasożytów;Spray Parasítico;寄生喷吐;寄生噴沫
Proximity Explosives;Сенсорные бомбы;Sprengladung;Explosivos de proximidad;Explosivos de proximidad;Bombes de proximité;Esplosivi di prossimità;근접 폭발물;Zbliżeniowe ładunki wybuchowe;Explosivos de Proximidade;连锁炸弹;感應炸彈
Venomous Quill;Ядовитые иглы;Giftige Borsten;Púa venenosa;Pluma ponzoñosa;Piquant venimeux;Aculeo velenoso;독 가시;Skała;Espinho Venenoso;剧毒钢毛;毒性刺管
Space Cow Medium Melee;Космическая корова - средний ближний бой;Weltraumkuh - Mittel, Nahkampf;Vaca espacial media de refriega;Vaca espacial mediana - Melé;Vache de l’espace moyenne de mêlée;Mischia mucca spaziale media;우주 소 중간 근접;Kosmiczna krowa, średnia, Walka wręcz;Vaca Espacial Corpo-a-Corpo Média;中型太空牛 近战;太空母牛 - 中型 - 近戰攻擊
Space Cow Small Melee;Космическая корова - малый ближний бой;Weltraumkuh - Klein, Nahkampf;Vaca espacial pequeña de refriega;Vaca espacial pequeña - Melé;Vache de l’espace petite de mêlée;Mischia mucca spaziale piccola;우주 소 작음 근접;Kosmiczna krowa, mała, Walka wręcz;Vaca Espacial Corpo-a-Corpo Pequena;小型太空牛 近战;太空母牛 - 小型 - 近戰攻擊
Big Meaty Fist;Большой мясистый кулак;Geballte Faust;Gran puño musculoso;Gran puño de carne;Bon gros poing;Grosso pugno;왕주먹;Mięsista piącha;Punho Grande de Carne;硕大结实的拳头;大塊頭的鐵拳
Infested Gauss Rifle;Винтовка Гаусса;Verseuchtes Gaußgewehr;Fusil gauss infestado;Rifle Gauss infestado;Fusil Gauss contaminé;Fucile gaussiano infestato;감염된 가우스 소총;Zainfekowany karabin Gaussa;Rifle Gauss Infestado;感染的电磁枪;受感染的電磁步槍
Glaive Cannon;Энергетическая глефа;Glevenkanone;Cañón de guja;Cañón Gladia;Canon glaive;Balestra psionica;파열포;Wyrzutnia ostrzy;Canhão de Glaive;刃炮;旋刃加農砲
LB-10 Gatling Minigun;Шестиствольный пулемет LB-10;Gatling-Minikanone LB-10;Ametralladora gatling LB-10;Minigun Gatling LB-10;Mini-canon Gatling LB-10;Minigun Gatling LB-10;LB-10 개틀링 기관총;Działko Gatlinga LB-X;Metralhadora Giratória Gatling LB-10;LB-10格林机枪;LB-10格林機關槍
Nemesis Missile Pod;Ракетный модуль «Немезида»;Nemesisraketenkapsel;Cápsula de misil de némesis;Cápsula de misiles Némesis;Silo à missiles Némésis;Batteria di missili Nemesis;네메시스 미사일 포;Wyrzutnia rakiet Nemezis;Cápsula de Mísseis Nêmesis;复仇女神飞弹舱;復仇女神飛彈艙
Defender Cannon;Пушка «Защитник»;Verteidigungskanone;Cañón defensor;Cañón de defensa;Canon défenseur;Cannone Defender;방어포;Działo Obrońca;Canhão Defensor;防卫者火炮;防衛者加農砲
Peace Keepers;Хранители мира;Friedensstifter;Pacificadores;Pacifistas;Gardiens de la paix;Pacificatore;평화유지군;Pacyfikatory;Pacificadores;和平守护者;和平保衛者
Acid Breath;Кислотное дыхание;Säureatem;Aliento ácido;Aliento ácido;Souffle acide;Soffio acido;산 숨결;Kwasowy oddech;Sopro Ácido;酸性吐息;強酸噴息
Massive Claws;Огромные когти;Massive Klauen;Garras enormes;Garras enormes;Griffes massives;Artigli enormi;거대 발톱;Objęcia matki;Garras Colossais;巨型利爪;巨爪
Zerg Tower Artillery;Башня зергов - артиллерия;Zerg-Turmartillerie;Artillería de torre zerg;Zerg - Artillería de torre;Artillerie de la tour zerg;Artiglieria torre zerg;저그 탑 대포;Zergi Wieża Artyleria;Torre de Artilharia Zerg;异虫火炮塔;蟲族砲塔怪
Purifier Glaive Cannon;Энергетическая глефа чистильщиков;Richter-Glevenkanone;Cañón de guja purificador;Purificador - Cañón Gladia;Canon glaive de Purificateur;Balestra psionica dei Purificatori;정화자 쐐기포;Wyrzutnia ostrzy czyścicieli;Canhão de Glaive Purificador;净化者刃炮;淨化者旋刃加農砲
Aiur Protector Weapon;Оружие защитника Айура;Aiur - Beschützer, Waffe;Arma de protector de Aiur;Aiur - Protección - Arma;Arme de protecteur d’Aïur;Protettore di Aiur - Arma;아이어 보호자 무기;Aiur – Obrońca, Broń;Arma do Protetor de Aiur;Aiur Protector Weapon;艾爾保衛者武器
Torment Bolt;Луч истязания;Vernichtungsschlag;Explosión de tormento;Rayo atormentador;Trait de tourment;Dardo del tormento;고통의 번개;Pocisk udręki;Seta de Tormento;痛苦飞弹;苦痛電光
Rampage Burst;Залп бешенства;Verheerungssalve;Ráfaga de devastación;Ráfaga devastadora;Explosion de saccage;Esplosione distruttiva;광란 폭발;Wybuch niszczący;Chacina Explosiva;狂暴喷射;狂暴爆擊
Particle Disruptors;Нейтронные расщепители;Partikeldisruptoren;Disruptores de partículas;Disruptores de partículas;Disrupteurs à particules;Disgregatori particellari;입자 분열기;Rozszczepiacze cząsteczkowe;Disruptores de Partículas;粒子碎裂炮;粒子阻斷砲
Warpspace Cannon;Пушка искривления пространства;Warpkanone;Cañón de espacio de invocación;Cañón de transposición espacial;Canon à distorsion;Cannone dimensionale;차원공간 포;Działo nadprzestrzenne;Canhão de Dobra Espacial;裂空光炮;躍傳空間加農砲
Arc Node;Узловой блок;Leerententakel;Nodo de arco;Nodo de arco;Arc - Nœud;Nodo arco;아크 노드;Węzeł łuku;Nodo de Arco;Arc Node;弧形節點
Twilight Blades;Сумеречные клинки;Zwielichtklingen;Cuchillas crepusculares;Cuchillas crepusculares;Lames du Crépuscule;Lame del crepuscolo;황혼 검;Ostrza zmroku;Lâminas do Crepúsculo;光影双刃;暮光之刃
Psionic Assault;Псионная атака;Psi-Angriff;Asalto psiónico;Asalto psiónico;Assaut psionique;Assalto psionico;사이오닉 공격;Psioniczny szturm;Ataque Psiônico;灵能突击;幽能突擊
Agonizing Blast;Взрыв боли;Marterstrahl;Explosión de agonía;Explosión agonizante;Explosion déchirante;Esplosione d'agonia;고통의 폭발;Śmiertelny wybuch;Explosão Agonizante;痛苦冲击;苦痛轟擊
Psionic Scythe;Псионная коса;Psionische Sense;Guadaña psiónica;Guadaña psiónica;Faux psionique;Falci psioniche;사이오닉 낫;Kosa psioniczna;Foice Psiônica;灵能镰刀;幽能鐮刀
Bane Blades;Клинки погибели;Schreckensklingen;Cuchillas de perdición;Cuchillas malditas;Lames fléau;Lame della rovina;척살 검;Ostrza Zagłady;Lâminas Malditas;背弃之刃;苦痛之刃
Warp Blades;Клинки искривления;Warpklingen;Cuchillas de distorsión;Cuchillas de transposición;Trans-lames;Lame del Vuoto;변형 차원검;Ostrza nadprzestrzenne;Lâminas de Transdobra;曲光战刃;空間之刃
Chomper Beast;Chomper Beast;Mampferbestie;Bestia mordedora;Bestia engullidora;Mâchouilleur;Bestia divorante;걸신 괴물;Kłapobestia;Fera Mordedora;大嘴兽;猛顎獸
Chomper Beast Air;Поедающий зверь - воздух;Mampferbestie - Luft;Bestia mordedora aérea;Bestia engullidora - Aéreo;Mâchouilleur volant;Bestia divorante - Aria;걸신 괴물 공중;Kłapobestia, Powietrze;Fera Mordedora - Ar;Chomper Beast Air;猛顎獸 - 對空
Incendiary Lance;Разрушительное копье;Thermolanze;Lanza incendiaria;Lanza incendiaria;Lance incendiaire;Lancia incendiaria;화염 창;Lanca zapalająca;Lança Incendiária;焚化射线;烈焰射線
Sentinel Lance;Луч часового;Vollstrecker - Lanze;Lanza de vigilante;Lanza de Vigía;Lance sentinelle;Incursore - Lancia;파수병 창;Lanca strażnika;Lança de Atalaia;警戒者射线;哨兵射線
Thermal Lances;Термальные лучи;Thermolanzen;Lanzas térmicas;Lanzas térmicas;Thermolances;Lance termiche;열 광선;Lance termiczne;Lanças Térmicas;热能射线枪;熱能射線
Corsair Fake Weapon;Ложное оружие корсара;Korsar - Waffenattrappe;Arma falsa de corsario;Corsario - Falso - Arma;Corsaire - Fausse arme;Corsaro - Arma simulata;해적선 가짜 무기;Korsarz, Nieprawdziwa broń;Arma Falsa de Corsário;Corsair Fake Weapon;海盜機 - 假武器
Chaotic Torrent;Хаотический поток;Chaosstrahl;Torrente caótico;Torrente caótico;Torrent chaotique;Flusso caotico;혼돈의 격류;Nawałnica chaosu;Torrente Caótica;混沌洪流;混亂洪流
Shadow Scythe;Теневая коса;Schattensichel;Guadaña de las sombras;Guadaña sombría;Faux de l’ombre;Falci dell'ombra;그림자 큰낫;Kosa cienia;Foice das Sombras;暗影镰刀;暗影鐮刀
Warp Glaive;Глефа искривления;Warpgleve;Guja de distorsión;Gladia de transposición;Glaive de transfert;Balestra dimensionale;차원 글레이브;Glewia nadprzestrzenna;Glaive de Transdobra;曲光巨刃;躍傳旋刃
Shadow Blades;Теневые клинки;Schattenklingen;Cuchillas de las sombras;Cuchillas sombrías;Lames de l'ombre;Lame dell'Ombra;그림자 칼날;Ostrza cienia;Lâminas Sombrias;暗影之刃;暗影之刃
Defense Droid Weapon;Защитный дроид - оружие;Verteidigungsdroide - Waffe;Arma de robot de defensa;Androide defensivo - Arma;Droïde de défense - Arme;Droide Difensivo - Arma;방어용 드로이드 무기;Droid obronny, Broń;Arma de Androide de Defesa;Defense Droid Weapon;防禦機器人噁器
Disruptor Weapon;Оружие - расщепитель;Disruptor - Waffe;Arma de disruptor;Arma disruptora;Arme de disrupteur;Disgregatore - Arma;분열기 무기;Destabilizator, Broń;Arma de Disruptor;Disruptor Weapon;裂光球武器
Sanitization Beam;Луч очищения;Neutralisierungsstrahl;Haz de desinfección;Rayo saneador;Rayon de désinfection;Raggio epurativo;박멸 광선;Wiązka dezynfekująca;Feixe de Sanitização;清洁光束;消毒光束
Energy Arc Tower Weapon;Оружие энергетической башни;Energieschubturm - Waffe;Arma de torre de arco de energía;Torre de arco energético - Arma;Tour d’arc électrique - Arme;Torre di Arco Energetico - Arma;에너지 아크 탑 무기;Łuk energetyczny, Wieża, Broń;Torre de Arco de Energia - Arma;Energy Arc Tower Weapon;能量弧形塔 - 武器
Purification Blade;Клинок очищения;Richterklinge;Cuchilla de purificación;Cuchilla de purificación;Lame purificatrice;Lama purificatrice;정화의 검;Ostrze oczyszczenia;Lâmina de Purificação;净化之刃;淨化之刃
Fenix (Air) Air;Феникс (воздушный) - воздух;Fenix (Luft) - Luft;Fénix (aire): aéreo;Fénix (Aire) - Aéreo;Fénix (aérien) - Air;Fenix - Aria - Aereo;피닉스 (공중) 공중;Fenix (Powietrze), Powietrzne;Fenix (Ar) - Ar;Fenix (Air) Air;菲尼克斯（空中單位）
Fenix (Air) Ground;Феникс (воздушный) - земля;Fenix (Luft) - Boden;Fénix (aire): terrestre;Fénix (Aire) - Terrestre;Fénix (aérien) - Sol;Fenix - Aria - Terrestre;피닉스 (공중) 지상;Fenix (Powietrze), Naziemne;Fenix (Ar) - Terrestre;Fenix (Air) Ground;菲尼克斯（空中單位）地面
Phase Disruptors;Фазовый расщепитель;Phasendisruptoren;Disruptores de fase;Disruptores de fase;Disrupteurs de phase;Disgregatori di fase;위상 분열기;Rozszczepiacze fazowe;Interruptores Fásicos;相位碎裂炮;相位阻斷砲
Purifier Blades;Клинки чистильщика;Richterklingen;Cuchillas de purificador;Cuchillas de los Purificadores;Lames purificatrices;Lame purificatrici;정화자 검;Ostrza czyścicieli;Lâminas de Purificador;净化者之刃;淨化者之刃
Flagship Weapon;Оружие флагмана;Flaggschiff - Waffe;Arma de buque insignia;Nave insignia - Arma;Arme de vaisseau-amiral;Ammiraglia - Arma;기함 무기;Okręt flagowy, Broń;Arma da Nau Capitânia;Flagship Weapon;旗艦武器
Flak Cannon Weapon;Оружие зенитного орудия;Flakkanone - Waffe;Arma de cañón antiaéreo;Cañón antiaéreo - Arma;Canon de DCA - Arme;Cannone antiaereo - Arma;대공포 무기;Działo przeciwlotnicze, Broń;Canhão Antiaéreo - Arma;Flak Cannon Weapon;高射加農砲武器
Flame Beast;Пламенный зверь;Flammenbestie;Bestia de llamas;Bestia flamígera;Bête de flammes;Belva Infuocata;화염 야수;Pirobestia;Fera de Chamas;烈焰战兽;烈焰獸
Flame Beast Air;Пламенный зверь - воздух;Flammenbestie - Luft;Bestia de llamas aérea;Bestia flamígera - Aire;Bête de flammes - Air;Belva Infuocata - Aria;화염 야수 공중;Pirobestia, Powietrze;Fera de Chamas - Ar;Flame Beast Air;烈焰獸 - 對空
High Templar Fake Weapon;Высший тамплиер - ложное оружие;Hoher Templer - Waffenattrappe;Arma falsa de alto templario;Alto templario - Falso - Arma;Haut templier - Fausse arme;Alto templare - Arma simulata;고위 기사 가짜 무기;Wysoki templariusz, Nieprawdziwa broń;Templário Supremo - Arma Falsa;High Templar Fake Weapon;高階聖堂武士 - 假武器
Annihilation Beam;Луч аннигиляции;Vernichtungsstrahl;Haz aniquilador;Rayo aniquilador;Rayon d’annihilation;Raggio sterminatore;섬멸 광선;Wiązka anihilacji;Feixe de Aniquilação;湮灭光束;殲滅光束
Interceptor Aiur Beam;Луч перехватчика - Айур;Interceptor - Aiur, Strahl;Haz interceptor de Aiur;Interceptor - Aiur - Rayo;Rayon intercepteur d’Aïur;Intercettore - Aiur - Raggio;요격기 아이어 광선;Przechwytywacz, Aiur, Wiązka;Feixe Interceptor de Aiur;Interceptor Aiur Beam;艾爾攔截機光束
Interceptor Aiur Launch;Запуск перехватчика - Айур;Interceptor - Aiur, Start;Lanzar interceptor de Aiur;Interceptor - Aiur - Lanzamiento;Lancement d’intercepteur d’Aïur;Intercettore - Aiur - Lancio;요격기 아이어 출격;Przechwytywacz, Aiur, Wypuszczenie;Lançamento Interceptor de Aiur;Interceptor Aiur Launch;發射艾爾攔截機
Interceptor Taldarim Launch;Запуск перехватчика - талдаримы;Interceptor - Tal'darim, Start;Lanzar interceptor tal'darim;Interceptor - Tal'darim - Lanzamiento;Lancement d’intercepteur Tal’darim;Intercettore - Taldarim - Lancio;요격기 탈다림 출격;Przechwytywacz, Taldarim, Wypuszczenie;Lançamento Interceptor de Taldarim;Interceptor Taldarim Launch;發射塔達力姆攔截機
Micro Bot Deactivated Weapon;Деактивированное оружие микробота;Mikrobot - deaktivierte Waffe;Arma desactivada de microrrobot;Microbot - Arma desactivada;Arme désactivée de microbot;Microbot - Arma Disattivata;초소형 로봇 비활성화한 무기;Mikrobot, Dezaktywowana broń;Microrrobô - Arma Desativada;Micro Bot Deactivated Weapon;微型機器人 - 停用武器
Micro Bot Weapon;Оружие микробота;Mikrobot - Waffe;Arma de microrrobot;Microbot - Arma;Arme de microbot;Microbot - Arma;초소형 로봇 무기;Mikrobot, Broń;Microrrobô - Arma;Micro Bot Weapon;微型機器人 - 武器
Khaydarin Beam1;Кайдариновый луч1;Khaydarin-Strahl1;Haz khaydarin 1;Rayo khaydarín 1;Rayon Khaydarin 1;Raggio Khaydarin1;케이다린 광선 1;Promień khaydarinowy1;Feixe Khaydarin1;Khaydarin Beam1;凱達林光束1
Khaydarin Beam3;Кайдариновый луч3;Khaydarin-Strahl3;Haz khaydarin 3;Rayo khaydarín 3;Rayon Khaydarin 3;Raggio Khaydarin3;케이다린 광선 3;Promień khaydarinowy3;Feixe Khaydarin3;Khaydarin Beam3;凱達林光束3
Incendiary Beam;Воспламеняющий луч;Brandstrahl;Haz incendiario;Rayo incendiario;Rayon incendiaire;Raggio incendiario;소각 광선;Wiązka zapalająca;Feixe Incendiário;焚化光束;烈焰光束
Enmity Flare;Вспышка вражды;Aggressives Flimmern;Llamarada de hostilidad;Destello hostil;Flambée d’hostilité;Raggio malevolo;증오의 섬광;Błysk nienawiści;Sinalizador da Inimizade;恶意闪光;仇恨之焰
[PH] Anti-Missile System;Система ПРО;[PH] Anti-Missile System;Sistema antimisiles;[PH] Anti-Missile System;Système antimissiles;Sistema antimissilistico;미사일 방어 시스템;System antyrakietowy;[PH] Sistema Antimísseis;反飞弹系统;飛彈防禦系統
Crucio Shock Cannon;Осадная пушка «Круцио»;Crucio-Schockkanone;Cañón de impacto crucio;Crucio - Cañón de impacto;Canon choc Crucio;Cannone d'assedio Crucio;크루시오 충격포;Działo burzące Crucio;Canhão de Choque Crucio;穿冲震击炮;庫希歐衝擊加農砲
Blazefire Edge;Клинок «Адское пламя»;Blazefire-Schneide;Sable llamarada;Filo llamaígnea;Lame de l’Hélios;Lama Blazefire;화염불꽃 칼날;Ostrze Ogniowe;Lâmina Flama Fulgurante;闪焰锋刃;熾火之刃
Blazefire Blaster;Бластер «Адское пламя»;Blazefire-Blaster;Láser llamarada;Cañón llamaígnea;Pistolet de l’Hélios;Disgregatore Blazefire;화염불꽃 발사기;Blaster Ogniowy;Detonador Flama Fulgurante;闪焰爆能枪;熾火爆彈槍
