Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Abil/Name/BurrowInfestedExploderDown;Burrow | Burrow Down;Burrow | Burrow Down;Burrow | Burrow Down;Burrow | Burrow Down;Enterrar;Burrow | Burrow Down;Burrow | Burrow Down;잠복 | 잠복 내리기;Burrow | Burrow Down;Entocar;潜地;遁地 | 鑽入
Abil/Name/BurrowInfestedExploderUp;Burrow Up | Unburrow;Burrow Up | Unburrow;Burrow Up | Unburrow;Burrow Up | Unburrow;Desenterrar;Burrow Up | Unburrow;Burrow Up | Unburrow;잠복 올리기 | 잠복 해제;Burrow Up | Unburrow;Desentocar;出地;鑽出
Abil/Name/BurrowInfestedTerranCampaignDown;Burrow (InfestedTerranCampaign);Burrow (InfestedTerranCampaign);Burrow (InfestedTerranCampaign);Burrow (InfestedTerranCampaign);Enterrar (TerranInfestadoCampaña);Burrow (InfestedTerranCampaign);Burrow (InfestedTerranCampaign);잠복 (감염된 테란 캠페인);Burrow (InfestedTerranCampaign);Entocar (InfestadoTerranoCampanha);潜地 (被感染的人类战役);遁地（劇情戰役中受感染的人類）
Abil/Name/BurrowInfestedTerranCampaignUp;Unburrow (InfestedTerranCampaign);Unburrow (InfestedTerranCampaign);Unburrow (InfestedTerranCampaign);Unburrow (InfestedTerranCampaign);Desenterrar (TerranInfestadoCampaña);Unburrow (InfestedTerranCampaign);Unburrow (InfestedTerranCampaign);잠복 해제 (감염된 테란 캠페인);Unburrow (InfestedTerranCampaign);Desentocar (InfestadoTerranoCampanha);出地 (被感染的人类战役);鑽出（劇情戰役受感染的人類）
Abil/Name/BurrowMutatorAmonDehakaDown;Burrow Mutator Amon Dehaka Down;Burrow Mutator Amon Dehaka Down;Burrow Mutator Amon Dehaka Down;Burrow Mutator Amon Dehaka Down;;Burrow Mutator Amon Dehaka Down;Burrow Mutator Amon Dehaka Down;;Burrow Mutator Amon Dehaka Down;;;
Abil/Name/BurrowMutatorAmonDehakaMirrorImageDown;Burrow Mutator Amon Dehaka Mirror Image Down;Burrow Mutator Amon Dehaka Mirror Image Down;Burrow Mutator Amon Dehaka Mirror Image Down;Burrow Mutator Amon Dehaka Mirror Image Down;;Burrow Mutator Amon Dehaka Mirror Image Down;Burrow Mutator Amon Dehaka Mirror Image Down;;Burrow Mutator Amon Dehaka Mirror Image Down;;;
Abil/Name/BurrowMutatorAmonDehakaMirrorImageUp;Burrow Mutator Amon Dehaka Mirror Image Up;Burrow Mutator Amon Dehaka Mirror Image Up;Burrow Mutator Amon Dehaka Mirror Image Up;Burrow Mutator Amon Dehaka Mirror Image Up;;Burrow Mutator Amon Dehaka Mirror Image Up;Burrow Mutator Amon Dehaka Mirror Image Up;;Burrow Mutator Amon Dehaka Mirror Image Up;;;
Abil/Name/BurrowMutatorAmonDehakaUp;Burrow Mutator Amon Dehaka Up;Burrow Mutator Amon Dehaka Up;Burrow Mutator Amon Dehaka Up;Burrow Mutator Amon Dehaka Up;;Burrow Mutator Amon Dehaka Up;Burrow Mutator Amon Dehaka Up;;Burrow Mutator Amon Dehaka Up;;;
Abil/Name/BurrowNovaInfestedBansheeUp;Launch;Launch;Launch;Launch;Lanzar;Launch;Launch;출격;Launch;Lançar;发射;起飛
Abil/Name/BurrowNoxiousDown;Burrow Noxious Down;Закапывание токсилиска;Burrow Noxious Down;Enterrar tóxico;Enterrar Nocivo;Burrow Noxious Down;Rintanamento Atrax;독성 잠복;Zagrzeb truciciela;Entocar Tóxica;瘴毒兽潜地;沼獸遁地鑽入
Abil/Name/BurrowNoxiousUp;Burrow Noxious Up;Выкапывание токсилиска;Burrow Noxious Up;Desenterrar tóxico;Desenterrar Nocivo;Burrow Noxious Up;Emersione Atrax;독성 잠복 해제;Wygrzeb truciciela;Desentocar Tóxica;瘴毒兽出地;沼獸遁地鑽出
Abil/Name/BurrowPrimalHydraliskDown;Burrow Primal Hydralisk Down;Burrow Primal Hydralisk Down;Burrow Primal Hydralisk Down;Burrow Primal Hydralisk Down;Enterrar Hidralisco primigenio;Burrow Primal Hydralisk Down;Burrow Primal Hydralisk Down;원시 히드라리스크 잠복;Burrow Primal Hydralisk Down;Entocar Hidralisca Primeva;原始刺蛇潜地;原生刺蛇遁地鑽入
Abil/Name/BurrowPrimalHydraliskUp;Burrow Primal Hydralisk Up;Burrow Primal Hydralisk Up;Burrow Primal Hydralisk Up;Burrow Primal Hydralisk Up;Desenterrar Hidralisco primigenio;Burrow Primal Hydralisk Up;Burrow Primal Hydralisk Up;원시 히드라리스크 잠복 해제;Burrow Primal Hydralisk Up;Desentocar Hidralisca Primeva;原始刺蛇出地;原生刺蛇遁地鑽出
Abil/Name/BurrowPrimalRoachDown;Burrow Primal Roach Down;Burrow Primal Roach Down;Burrow Primal Roach Down;Burrow Primal Roach Down;Enterrar Cucaracha primigenia;Burrow Primal Roach Down;Burrow Primal Roach Down;원시 바퀴 잠복;Burrow Primal Roach Down;Entocar Barata Primeva;原始蟑螂潜地;原生蟑螂遁地鑽入
Abil/Name/BurrowPrimalRoachUp;Burrow Primal Roach Up;Burrow Primal Roach Up;Burrow Primal Roach Up;Burrow Primal Roach Up;Desenterrar Cucaracha primigenia;Burrow Primal Roach Up;Burrow Primal Roach Up;원시 바퀴 잠복 해제;Burrow Primal Roach Up;Desentocar Barata Primeva;原始蟑螂出地;原生蟑螂遁地鑽出
Abil/Name/BurrowPrimalUltraliskDown;Burrow Primal Ultralisk Down;Burrow Primal Ultralisk Down;Burrow Primal Ultralisk Down;Burrow Primal Ultralisk Down;Enterrar Ultralisco primigenio;Burrow Primal Ultralisk Down;Burrow Primal Ultralisk Down;원시 울트라리스크 잠복;Burrow Primal Ultralisk Down;Entocar Mammuthus Primevo;原始雷兽潜地;原生雷獸遁地鑽入
Abil/Name/BurrowPrimalUltraliskUp;Burrow Primal Ultralisk Up;Burrow Primal Ultralisk Up;Burrow Primal Ultralisk Up;Burrow Primal Ultralisk Up;Desenterrar Ultralisco primigenio;Burrow Primal Ultralisk Up;Burrow Primal Ultralisk Up;원시 울트라리스크 잠복 해제;Burrow Primal Ultralisk Up;Desentocar Mammuthus Primevo;原始雷兽出地;原生雷獸遁地鑽出
Abil/Name/BurrowPrimalZerglingDown;Burrow Primal Zergling Down;Burrow Primal Zergling Down;Burrow Primal Zergling Down;Burrow Primal Zergling Down;Enterrar Zerguezno primigenio;Burrow Primal Zergling Down;Burrow Primal Zergling Down;원시 저글링 잠복;Burrow Primal Zergling Down;Entocar Zergnídeo Primevo;原始跳虫潜地;原生異化蟲遁地鑽入
Abil/Name/BurrowPrimalZerglingUp;Burrow Primal Zergling Up;Burrow Primal Zergling Up;Burrow Primal Zergling Up;Burrow Primal Zergling Up;Desenterrar Zerguezno primigenio;Burrow Primal Zergling Up;Burrow Primal Zergling Up;원시 저글링 잠복 해제;Burrow Primal Zergling Up;Desentocar Zergnídeo Primevo;原始跳虫出地;原生異化蟲遁地鑽出
Abil/Name/BurrowRavasaurDown;Burrow Ravasaur Down;Закапывание равазавра;Burrow Ravasaur Down;Enterrar ravasauro;Enterrar Ravasaurio;Burrow Ravasaur Down;Rintanamento Ravasauro primordiale;라바사우르스 잠복;Zagrzeb rawazaura;Entocar Ravassauro;暴掠龙潜地;暴掠龍遁地鑽入
Abil/Name/BurrowRavasaurUp;Burrow Ravasaur Up;Выкапывание равазавра;Burrow Ravasaur Up;Desenterrar ravasauro;Desenterrar Ravasaurio;Burrow Ravasaur Up;Emersione Ravasauro primordiale;라바사우르스 잠복 해제;Wygrzeb rawazaura;Desentocar Ravassauro;暴掠龙出地;暴掠龍遁地鑽出
Abil/Name/BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;잠복 SI 감염된 민간인 아래;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;BurrowSIInfestedCivilianDown;遁地 - 蟲族感染 - 受感染的平民 - 鑽入
Abil/Name/BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;잠복 SI 감염된 민간인 위;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;BurrowSIInfestedCivilianUp;遁地 - 蟲族感染 - 受感染的平民 - 鑽出
Abil/Name/BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;잠복 SI 감염된 해병 아래;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;BurrowSIInfestedMarineDown;遁地 - 蟲族感染 - 受感染的陸戰隊 - 鑽入
Abil/Name/BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;잠복 SI 감염된 해병 위;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;BurrowSIInfestedMarineUp;遁地 - 蟲族感染 - 受感染的陸戰隊 - 鑽出
Abil/Name/BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;BurrowSIInfestedTrooperDown;遁地_斯杜科夫感染_受感染的士兵_鑽入
Abil/Name/BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;BurrowSIInfestedTrooperUp;遁地_斯杜科夫感染_受感染的士兵_鑽出
Abil/Name/BurrowSentryMineDown;Burrow;Burrow;Burrow;Burrow;Enterrar;Burrow;Burrow;잠복;Burrow;Entocar;Burrow;遁地
Abil/Name/BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;BurrowStukovInfestedBansheeDown;遁地_斯杜科夫_受感染的女妖轟炸機_鑽入
Abil/Name/BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;BurrowStukovInfestedBansheeUp;遁地_斯杜科夫_受感染的女妖轟炸機_鑽出
Abil/Name/BurrowSurge;Burrow Surge;Подземная волна;Auftauchen;Avance subterráneo;Desplazamiento enterrado;Burrow Surge;Slancio sotterraneo;잠복 쇄도;Podziemny impuls;Erupção do Entocamento;潜地奔腾;遁地掘行
Abil/Name/BurrowTorrasqueDown;Burrow Torrasque Down;Закапывание торраска;Burrow Torrasque Down;Enterrar magnasauro;Enterrar Torrasque;Burrow Torrasque Down;Rintanamento Tarrasque;토라스크 잠복;Zagrzeb torraska;Entocar Torrasque;暴龙兽潜地;轟雷獸遁地鑽入
Abil/Name/BurrowTorrasqueUp;Burrow Torrasque Up;Выкапывание торраска;Burrow Torrasque Up;Desenterrar magnasauro;Desenterrar Torrasque;Burrow Torrasque Up;Emersione Tarrasque;토라스크 잠복 해제;Wygrzeb torraska;Desentocar Torrasque;暴龙兽出地;轟雷獸遁地鑽出
Abil/Name/BusTransport;Bus Transport;Бот - транспортировка;Bustransporter;Bus transporte;Transporte autobús;Bus Transport;Trasporto;버스 수송;Autobus – transport;Transporte Ônibus;巴士运输;巴士運輸
Abil/Name/CancelTerrazineHarvest;Cancel Terrazine Harvest;Cancel Terrazine Harvest;Cancel Terrazine Harvest;Cancel Terrazine Harvest;Cancelar recolección de terracino;Cancel Terrazine Harvest;Cancel Terrazine Harvest;테라진 채취 취소;Cancel Terrazine Harvest;Cancelar extração de terrazino;取消地嗪采集;取消採集態化氫
Abil/Name/CapResource;Cap Resource;Ограничить ресурсы;Ressourcengrenze;Limitar recurso;Restringir recurso;Couvrir la ressource;Occupazione risorsa;자원 봉인;Limit surowców;Limite de Recursos;限制资源;限制資源
Abil/Name/CarcassTransport;Carcass Transport;Туша - транспортировка;Kadaver transportieren;Transporte de carroña;Transportar cadáver;Carcass Transport;Trasporto carcassa;시체 수송;Transport zwłok;Transporte de Carcaça;尸体运送;屍體運送
Abil/Name/CarrierAiurHanger;Carrier Aiur Hanger;Carrier Aiur Hanger;Carrier Aiur Hanger;Carrier Aiur Hanger;Portanaves - Aiur - Hangar;Carrier Aiur Hanger;Carrier Aiur Hanger;우주모함 아이어 격납고;Carrier Aiur Hanger;Transportadora - Hangar de Aiur;Carrier Aiur Hanger;航空母艦 - 艾爾 - 機棚
Abil/Name/CarrierBomberBomb;Carrier Bomber Bomb;Carrier Bomber Bomb;Carrier Bomber Bomb;Carrier Bomber Bomb;Portanaves - Bombardero - Bomba;Carrier Bomber Bomb;Carrier Bomber Bomb;우주모함 폭격기 폭탄;Carrier Bomber Bomb;Transportadora - Bomba de Bombardeiro;Carrier Bomber Bomb;航空母艦 - 轟炸機 - 炸彈
Abil/Name/CarrierBomberRemove;Carrier Bomber Remove;Carrier Bomber Remove;Carrier Bomber Remove;Carrier Bomber Remove;Portanaves - Bombardero - Quitar;Carrier Bomber Remove;Carrier Bomber Remove;우주모함 폭격기 제거;Carrier Bomber Remove;Transportadora - Remover Bombardeiro;Carrier Bomber Remove;航空母艦 - 轟炸機 - 移除
Abil/Name/CarrierHangarVoid;Hangar Void;Hangar Void;Hangar Void;Hangar Void;Hangar - Vacío;Hangar Void;Hangar Void;격납고 공허;Hangar Void;Hangar do Vazio;Hangar Void;機棚 - 虛空
Abil/Name/CarrierHyperjump;Carrier Hyperjump;Carrier Hyperjump;Carrier Hyperjump;Carrier Hyperjump;Portanaves - Hipersalto;Carrier Hyperjump;Carrier Hyperjump;우주모함 초공간 도약;Carrier Hyperjump;Transportadora - Hipersalto;Carrier Hyperjump;航空母艦 - 超時空躍傳
Abil/Name/CarrierInterceptorBombActive;Carrier Interceptor Bombing Run;Carrier Interceptor Bombing Run;Carrier Interceptor Bombing Run;Carrier Interceptor Bombing Run;Portanaves - Interceptor - Bombardeo - Huída;Carrier Interceptor Bombing Run;Carrier Interceptor Bombing Run;우주모함 요격기 폭격 비행;Carrier Interceptor Bombing Run;Interceptador de Transportadora - Passagem de Bombardeio;Carrier Interceptor Bombing Run;航空母艦 - 攔截機 - 出動轟炸
Abil/Name/CarrierRepairDroneHanger;Carrier Repair Drone Hanger;Carrier Repair Drone Hanger;Carrier Repair Drone Hanger;Carrier Repair Drone Hanger;Portanaves - Dron de reparación - Hangar;Carrier Repair Drone Hanger;Carrier Repair Drone Hanger;우주모함 수리 비행정 격납고;Carrier Repair Drone Hanger;Transportadora - Drone de Conserto - Hangar;Carrier Repair Drone Hanger;航空母艦 - 自動維修機 - 機棚
Abil/Name/CarrierRepairDroneHeal;Repair;Repair;Repair;Repair;Reparación;Repair;Repair;수리;Repair;Consertar;Repair;修復
Abil/Name/CarrierTaldarimHanger;Carrier Taldarim Hanger;Carrier Taldarim Hanger;Carrier Taldarim Hanger;Carrier Taldarim Hanger;Portanaves - Tald'arim - Hangar;Carrier Taldarim Hanger;Carrier Taldarim Hanger;우주모함 탈다림 격납고;Carrier Taldarim Hanger;Transportadora - Hangar de Taldarim;Carrier Taldarim Hanger;航空母艦 - 塔達力姆 - 機棚
Abil/Name/CarryCarcass;Carry Carcass;Перенос туши;Kadaver tragen;Llevar carroña;Acarrear cadáver;Transporter la carcasse;Trasporto carcassa;시체 운반;Zanieś Zwłoki;Carregar Carcaça;搬运尸体;運送屍體
Abil/Name/CelestialBeam;Celestial Beam;Celestial Beam;Celestial Beam;Celestial Beam;Rayo celestial;Celestial Beam;Celestial Beam;천상의 광선;Celestial Beam;Feixe Celestial;Celestial Beam;星穹光束
Abil/Name/ChampionWarpTrain;Champion Warp Train;Champion Warp Train;Champion Warp Train;Champion Warp Train;Campeón - Transposición - Entrenamiento;Champion Warp Train;Champion Warp Train;용사 소환 훈련;Champion Warp Train;Campeão - Transdobra - Treinar;Champion Warp Train;英雄 - 躍傳訓練
Abil/Name/ChangeFacing;Change Facing;Change Facing;Change Facing;Change Facing;Cambiar orientación;Change Facing;Change Facing;방향 바꾸기;Change Facing;Mudar Posicionamento;改变朝向;轉向
Abil/Name/ChangeNodetoCapped;Change Node to Capped;Change Node to Capped;Change Node to Capped;Change Node to Capped;"Cambiar nodo a ""Restringido""";Change Node to Capped;Change Node to Capped;노드를 봉인됨으로 변경;Change Node to Capped;Mudar Nodo para Limitado;Change Node to Capped;將節點變為關閉
Abil/Name/ChangeNodetoFlowing;Change Node to Flowing;Change Node to Flowing;Change Node to Flowing;Change Node to Flowing;"Cambiar nodo a ""Cargado""";Change Node to Flowing;Change Node to Flowing;노드를 흐름으로 변경;Change Node to Flowing;Mudar Nodo para Fluindo;Change Node to Flowing;將節點變為流動
Abil/Name/ChangeShrineProtoss;Change Shrine Protoss;Change Shrine Protoss;Change Shrine Protoss;Change Shrine Protoss;Cambiar Sagrario - Protoss;Change Shrine Protoss;Change Shrine Protoss;성지 프로토스 변화;Change Shrine Protoss;Mudar Santuário Protoss;更改 圣坛 星灵;變更聖殿 - 神族
Abil/Name/ChangeShrineTerran;Change Shrine Terran;Change Shrine Terran;Change Shrine Terran;Change Shrine Terran;Cambiar Sagrario - Terran;Change Shrine Terran;Change Shrine Terran;성지 테란 변화;Change Shrine Terran;Mudar Santuário Terrano;更改 圣坛 人类;變更聖殿 - 人類
Abil/Name/ChargeAncientXelNagaArtifact;Charge Ancient Xel'Naga Artifact;Charge Ancient Xel'Naga Artifact;Charge Ancient Xel'Naga Artifact;Charge Ancient Xel'Naga Artifact;Carga - Artefacto Xel'Naga antiguo;Charge Ancient Xel'Naga Artifact;Charge Ancient Xel'Naga Artifact;고대 젤나가 유물 충전;Charge Ancient Xel'Naga Artifact;Carregar Artefato Xel’Naga Ancestral;Charge Ancient Xel'Naga Artifact;充能古老的薩爾納加神器
Abil/Name/ChargeBuster;Arsenal Overcharge;Arsenal Overcharge;Arsenal Overcharge;Arsenal Overcharge;Sobrecarga de arsenal;Arsenal Overcharge;Arsenal Overcharge;무기 과충전;Arsenal Overcharge;Sobrecarga de Arsenal;武库超载;軍械超載
Abil/Name/ChargedBlastTargeted;Charged Blast;Charged Blast;Charged Blast;Charged Blast;Explosión de carga;Charged Blast;Charged Blast;충전 폭발;Charged Blast;Explosão Carregada;Charged Blast;充能光彈
Abil/Name/ChargedBuster;Solar Cannon;Solar Cannon;Solar Cannon;Solar Cannon;Cañón solar;Solar Cannon;Solar Cannon;태양 포;Solar Cannon;Canhão Solar;太阳能炮;日炎加農砲
Abil/Name/ChargedCannon;Charged Cannon;Charged Cannon;Charged Cannon;Charged Cannon;Cañón cargado;Charged Cannon;Charged Cannon;충전된 포;Charged Cannon;Canhão Carregado;Charged Cannon;充能加農砲
Abil/Name/CheckStation;Check Station;Check Station;Check Station;Check Station;Estación de control;Check Station;Check Station;검문소;Check Station;Estação de controle;检查站;檢查站
Abil/Name/CheckStationDefaultClose;Check Station Default Close;Check Station Default Close;Check Station Default Close;Check Station Default Close;Verificar estación - Predeterminado - Cerrar;Check Station Default Close;Check Station Default Close;검문소 기본 닫힘;Check Station Default Close;Estação de controle Padrão Fechada;检查站默认关闭;檢查站 - 預設 - 關閉
Abil/Name/CheckStationDefaultOpen;Check Station Default Open;Check Station Default Open;Check Station Default Open;Check Station Default Open;Verificar estación - Predeterminado - Abrir;Check Station Default Open;Check Station Default Open;검문소 기본 열림;Check Station Default Open;Estação de controle Padrão Aberta;检查站默认打开;檢查站 - 預設 - 開啟
Abil/Name/CheckStationDiagonalBLUR;Check Station Diagonal;Check Station Diagonal;Check Station Diagonal;Check Station Diagonal;Estación de control - Diagonal;Check Station Diagonal;Check Station Diagonal;검문소 대각선;Check Station Diagonal;Estação de controle diagonal;检查站 斜向;斜向的檢查站
Abil/Name/CheckStationDiagonalBLUROpened;Check Station Diagonal BLUR Opened;Check Station Diagonal BLUR Opened;Check Station Diagonal BLUR Opened;Check Station Diagonal BLUR Opened;Estación de control - Diagonal BLUR abierta;Check Station Diagonal BLUR Opened;Check Station Diagonal BLUR Opened;검문소 대각선 왼쪽 하단 오른쪽 상단 열림;Check Station Diagonal BLUR Opened;Base diagonal da estação de controle BLUR aberta;检查站 斜向 BLUR 已打开;左下右上斜向開啟的檢查站
Abil/Name/CheckStationDiagonalULBR;Check Station Diagonal;Check Station Diagonal;Check Station Diagonal;Check Station Diagonal;Estación de control - Diagonal;Check Station Diagonal;Check Station Diagonal;검문소 대각선;Check Station Diagonal;Estação de controle Diagonal;检查站 斜向;斜向的檢查站
Abil/Name/CheckStationDiagonalULBROpened;Check Station Diagonal ULBR Opened;Check Station Diagonal ULBR Opened;Check Station Diagonal ULBR Opened;Check Station Diagonal ULBR Opened;Estación de control - Diagonal ULBR abierta;Check Station Diagonal ULBR Opened;Check Station Diagonal ULBR Opened;검문소 대각선 왼쪽 상단 오른쪽 하단 열림;Check Station Diagonal ULBR Opened;Base diagonal da estação de controle ULBR aberta;检查站 斜向 BLUR 已打开;左上右下斜向開啟的檢查站
Abil/Name/CheckStationOpened;Check Station Opened;Check Station Opened;Check Station Opened;Check Station Opened;Estación de control - Abierta;Check Station Opened;Check Station Opened;검문소 열림;Check Station Opened;Estação de controle aberta;检查站 已打开;開啟的檢查站
Abil/Name/CheckStationVertical;Check Station Vertical;Check Station Vertical;Check Station Vertical;Check Station Vertical;Estación de control - Vertical;Check Station Vertical;Check Station Vertical;검문소 수직;Check Station Vertical;Checar Estação de controle vertical;检查站 垂直;縱向的檢查站
Abil/Name/CheckStationVerticalOpened;Check Station Vertical Opened;Check Station Vertical Opened;Check Station Vertical Opened;Check Station Vertical Opened;Estación de control - Vertical abierta;Check Station Vertical Opened;Check Station Vertical Opened;검문소 수직 열림;Check Station Vertical Opened;Checar Estação de controle vertical aberta;检查站 垂直 已打开;縱向開啟的檢查站
Abil/Name/ChomperBeastEatMeat;Chomper Beast Eat Meat;Chomper Beast Eat Meat;Chomper Beast Eat Meat;Chomper Beast Eat Meat;Bestia engullidora - Comer carne;Chomper Beast Eat Meat;Chomper Beast Eat Meat;걸신 괴물 고기 섭취;Chomper Beast Eat Meat;Fera Mordedora - Comer Carne;Chomper Beast Eat Meat;猛顎獸 - 吃肉
Abil/Name/Cleansed;Cleansed;Очищено;Gesäubert;Purificado;Limpio;Purifié;Epurato;정화됨;Oczyszczono;Purgado;清洗过的;已淨化
Abil/Name/CliffDoorClose0;Cliff Door Close0;Cliff Door Close0;Cliff Door Close0;Cliff Door Close0;Risco - Puerta cerrada 0;Cliff Door Close0;Cliff Door Close0;절벽 문 닫힘0;Cliff Door Close0;Penhasco Porta Fechada0;悬崖 大门 关闭 0;山崖之門 - 關閉0
Abil/Name/CliffDoorClose1;Cliff Door Close1;Cliff Door Close1;Cliff Door Close1;Cliff Door Close1;Risco - Puerta cerrada 1;Cliff Door Close1;Cliff Door Close1;절벽 문 닫힘1;Cliff Door Close1;Penhasco Porta Fechada1;悬崖 大门 关闭 1;山崖之門 - 關閉1
Abil/Name/CliffDoorOpen0;Cliff Door Open0;Cliff Door Open0;Cliff Door Open0;Cliff Door Open0;Risco - Puerta abierta 0;Cliff Door Open0;Cliff Door Open0;절벽 문 열림0;Cliff Door Open0;Penhasco Porta Aberta0;悬崖 大门 打开 0;山崖之門 - 開啟0
Abil/Name/CliffDoorOpen1;Cliff Door Open1;Cliff Door Open1;Cliff Door Open1;Cliff Door Open1;Risco - Puerta abierta 1;Cliff Door Open1;Cliff Door Open1;절벽 문 열림1;Cliff Door Open1;Penhasco Porta Aberta1;悬崖 大门 打开 1;山崖之門 - 開啟1
Abil/Name/Clone;Clone;Clone;Clone;Clone;Clonación;Clone;Clone;복제;Clone;Clonar;Clone;分身
Abil/Name/CollapsingBuildingNE;Collapsing Building NE;Collapsing Building NE;Collapsing Building NE;Collapsing Building NE;Edificación en ruinas - NE;Collapsing Building NE;Collapsing Building NE;Collapsing Building NE;Collapsing Building NE;Prédio Desmoronando NE;Collapsing Building NE;崩塌的建築 - 東北
Abil/Name/CollapsingBuildingNECollapsed;Collapsing Building NE Collapsed;Collapsing Building NE Collapsed;Collapsing Building NE Collapsed;Collapsing Building NE Collapsed;Edificación en ruinas - NE - Derrumbada;Collapsing Building NE Collapsed;Collapsing Building NE Collapsed;Collapsing Building NE Collapsed;Collapsing Building NE Collapsed;Prédio Desmoronando NE Desmoronado;Collapsing Building NE Collapsed;崩塌的建築 - 東北 - 已崩塌
Abil/Name/CollapsingBuildingNW;Collapsing Building NW;Collapsing Building NW;Collapsing Building NW;Collapsing Building NW;Edificación en ruinas - NO;Collapsing Building NW;Collapsing Building NW;Collapsing Building NW;Collapsing Building NW;Prédio Desmoronando NO;Collapsing Building NW;崩塌的建築 - 西北
Abil/Name/CollapsingBuildingNWCollapsed;Collapsing Building NW Collapsed;Collapsing Building NW Collapsed;Collapsing Building NW Collapsed;Collapsing Building NW Collapsed;Edificación en ruinas - NO - Derrumbada;Collapsing Building NW Collapsed;Collapsing Building NW Collapsed;Collapsing Building NW Collapsed;Collapsing Building NW Collapsed;Prédio Desmoronando NO Desmoronado;Collapsing Building NW Collapsed;崩塌的建築 - 西北 - 已崩塌
Abil/Name/CollapsingBuildingParent;Collapsing Building Parent;Collapsing Building Parent;Collapsing Building Parent;Collapsing Building Parent;Edificación en ruinas - Principal;Collapsing Building Parent;Collapsing Building Parent;Collapsing Building Parent;Collapsing Building Parent;Prédio Desmoronando Pai;Collapsing Building Parent;崩塌的建築 - 父項
Abil/Name/CollapsingBuildingSE;Collapsing Building SE;Collapsing Building SE;Collapsing Building SE;Collapsing Building SE;Edificación en ruinas - SE;Collapsing Building SE;Collapsing Building SE;Collapsing Building SE;Collapsing Building SE;Prédio Desmoronando SE;Collapsing Building SE;崩塌的建築 - 東南
Abil/Name/CollapsingBuildingSECollapsed;Collapsing Building SE Collapsed;Collapsing Building SE Collapsed;Collapsing Building SE Collapsed;Collapsing Building SE Collapsed;Edificación en ruinas - SE - Derrumbada;Collapsing Building SE Collapsed;Collapsing Building SE Collapsed;Collapsing Building SE Collapsed;Collapsing Building SE Collapsed;Prédio Desmoronando SE Desmoronado;Collapsing Building SE Collapsed;崩塌的建築 - 東南 - 已崩塌
